Título da classe de terceiro nível / quarto nível;Código;Termo
Autorização para realização de feiras;450.10.231;Feira grossista, autorização para realização de 
Autorização para realização de feiras;450.10.231;Feira ocasional, autorização para realização de 
Autorização para realização de feiras;450.10.231;Feira retalhista, autorização para realização de 
Autorização para realização de feiras;450.10.231;Instalação de feira, autorização para a realização de 
Autorização para realização de feiras;450.10.231;Realização de feira, autorização para
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para abeberamento animal, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para atividade agro-pecuária, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para atividade de lazer, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para atividade industrial, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para atividade recreativa, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para consumo humano, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para rega agrícola, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para rega de campo de golfe, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para rega de espaço público, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para rega de jardim, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para sistema particular, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água para sistema público de distribuição, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Captação de água superficial, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Captação para produção de energia hidroelétrica, licenciamento de 
Licenciamento de pesquisa e captação de água;450.10.232;Desativação da captação subterrânea, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de captação de água para abeberamento animal
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de captação de água para atividade industrial
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de captação de água para atividades de lazer
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de captação de água para atividades recreativas
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de pesquisa e captação de água subterrânea
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de utilização de água de albufeiras
Licenciamento de pesquisa e captação de água;450.10.232;Licenciamento de utilização de água para rega em aproveitamentos hidroagrícolas 
Licenciamento de pesquisa e captação de água;450.10.232;Pesquisa para captação de água subterrânea, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Sistema de abastecimento público de água, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Utilização de água de albufeira, licenciamento de
Licenciamento de pesquisa e captação de água;450.10.232;Utilização de água para rega em aproveitamento hidroagrícola, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Acesso de embarcações a plano de água, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Ancoradouro, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Autorização de utilização de recurso hídrico
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Colocação de balizagem, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Colocação de piscina, licenciamento de 
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Colocação de sinalizações, licenciamento de 
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Concessão de utilização de recurso hídrico
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de açude, licenciamento para
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de amarração, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de barragem, licenciamento para
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de cais, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de dique, licenciamento para
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de mini-hídrica, licenciamento para
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Construção de plataforma de acesso às embarcações, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Embarcadouro, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Infraestrutura hidráulica para utilização de recurso hídrico, autorização de 
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Licença de utilização de recurso hídrico
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Licenciamento para construção de açude
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Licenciamento para construção de barragem
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Licenciamento para construção de dique
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Licenciamento para construção de mini-hídrica
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Postos de recreio, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Recurso hídrico, autorização de utilização
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Transporte de material flutuante, licenciamento de
Licenciamento ou autorização para a instalação de infraestruturas em domínio hídrico;450.10.233;Utilização de jangada, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação de abastecimento de combustível líquido ou gasoso derivado do petróleo
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação de posto de abastecimento de combustíveis, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação para armazenamento de combustíveis líquidos, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação para armazenamento de derivados do petróleo, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação para armazenamento de gases de petróleo liquefeitos, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Instalação para armazenamento de produtos derivados do petróleo, licenciamento de
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Licenciamento de instalação de posto de abastecimento de combustíveis
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Licenciamento de instalação para armazenamento de combustíveis líquidos
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Licenciamento de instalação para armazenamento de derivados do petróleo
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Licenciamento de instalação para armazenamento de gases de petróleo liquefeitos
Licenciamento ou autorização de instalações de armazenamento de produtos de petróleo e de postos de abastecimento de combustíveis;450.10.234;Licenciamento de instalação para armazenamento de produtos derivados do petróleo
Reconhecimento de propriedade horizontal;450.10.235;Alteração de propriedade horizontal
Reconhecimento de propriedade horizontal;450.10.235;Constituição de propriedade horizontal
Reconhecimento de propriedade horizontal;450.10.235;Propriedade horizontal, constituição de
Atribuição de licença de instalação de cartório notarial;450.10.236;Cartório notarial, atribuição de licença de instalação de
Licenciamento ou autorização de ligações e acessos;450.10.237;Acesso a instalações industriais, comerciais e de serviços (Licenciamento ou autorização)
Licenciamento ou autorização de ligações e acessos;450.10.237;Acesso a prédios rústicos e edifícios de habitação (Licenciamento ou autorização)
Reconhecimento de títulos de profissões reguladas: verificação de condições;450.10.440.01;Acesso a profissão regulada (verificação de condições)
Reconhecimento de títulos de profissões reguladas: verificação de condições;450.10.440.01;Associação profissional, pedido de acesso a (verificação de condições)
Reconhecimento de títulos de profissões reguladas: verificação de condições;450.10.440.01;Associação profissional, pedido de acesso a (verificação de condições)
Reconhecimento de títulos de profissões reguladas: emissão de título;450.10.440.02;Acesso a profissão regulada (emissão de título)
Reconhecimento de títulos de profissões reguladas: emissão de título;450.10.440.02;Associação profissional, inscrição em (emissão de título)
Reconhecimento de títulos de profissões reguladas: emissão de título;450.10.440.02;Inscrição em associação profissional (emissão de título)
Reconhecimento de títulos de profissões reguladas: emissão de título;450.10.440.02;Inscrição em ordem profissional (emissão de título)
Reconhecimento de títulos de profissões reguladas: emissão de título;450.10.440.02;Ordem profissional, inscrição em (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;AOPI - Agente oficial da propriedade industrial, pedido de autorização da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Arrumador de automóveis, pedido de autorização da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Artesão, pedido de reconhecimento da profissão de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Bolsa de formadores, Reconhecimento de formador habilitado para (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Carta de artesão, renovação, suspensão e revogação da (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Carteira profissional (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;CCP - Certificado de Competências Pedagógicas (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Cédula de representante para operações aduaneiras (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Feirante, pedido de autorização para o exercício da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Formador profissional, pedido de reconhecimento de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Formador, pedido de autorização para o exercício da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Guarda-noturno, pedido de autorização para o exercício da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Vendedor ambulante, pedido de autorização para o exercício da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: verificação de condições;450.10.441.01;Vigilante, pedido de autorização para o exercício da atividade de (verificação de condições)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;AOPI - Agente oficial da propriedade industrial, autorização de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Arrumador de automóveis, emissão de cartão de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Artesão, reconhecimento da profissão de
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Bolsa de formadores, Reconhecimento de formador habilitado para (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Carta de artesão (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Carteira profissional (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;CCP - Certificado de Competências Pedagógicas (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Cédula de representante para operações aduaneiras (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Emissão de cartão de arrumador de automóveis (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Emissão de cartão de feirante (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Emissão de cartão de guarda noturno (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Emissão de cartão de vendedor ambulante (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Emissão de carteira profissional (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Feirante, emissão de cartão de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Guarda-noturno, emissão de cartão de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Habilitação de quem pode declarar junto das estâncias aduaneiras Habilitação de representante para operações aduaneiras (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Notário, autorização para o exercício da atividade de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Notário, reconhecimento de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Reconhecimento de formador profissional (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Reconhecimento de notário (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Registo de representante para operações aduaneiras (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Vendedor ambulante, emissão de cartão de (emissão de título)
Reconhecimento de títulos de profissões regulamentadas: emissão de título;450.10.441.02;Vigilante, autorização para o exercício da atividade de (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Componente profissional obtida no estrangeiro, pedido de reconhecimento de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Profissão não regulamentada, pedido de reconhecimento de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Reconhecimento da componente profissional obtida no estrangeiro, pedido de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Reconhecimento de profissão não regulamentada, pedido de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Reconhecimento de título profissional obtido no estrangeiro, pedido de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Reconhecimento genérico de grau académico, pedido de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: verificação de condições;450.10.442.01;Título profissional obtido no estrangeiro, pedido de reconhecimento de (verificação de condições)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Componente profissional obtida no estrangeiro, reconhecimento de (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Profissão não regulamentada, reconhecimento de (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Reconhecimento da componente profissional obtida no estrangeiro (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Reconhecimento de profissão não regulamentada (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Reconhecimento de título profissional obtido no estrangeiro (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Reconhecimento genérico de grau académico (emissão de título)
Reconhecimento de títulos profissionais obtidos no estrangeiro: emissão de título;450.10.442.02;Título profissional obtido no estrangeiro, reconhecimento de (emissão de título)
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Autorização excecional para o exercício da profissão
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Autorização transitória para coordenação de segurança
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Autorização transitória para o exercício da profissão
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Autorização transitória para o exercício de enfermagem do trabalho
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Autorização transitória para o exercício de medicina do trabalho
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Declaração de objeção de consciência
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Enfermagem no trabalho, autorização transitória para o exercício de
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Exercício da profissão, autorização excecional para o
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Medicina no trabalho, autorização transitória para o exercício de
Autorização transitória ou excecional para o exercício da profissão;450.10.443;Objeção de consciência, declaração de
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Acreditação de empresa de arqueologia (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Acreditação de Unidade Produtiva Artesanal (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Autorização de Estatuto Aduaneiro (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Carta de Unidade Produtiva Artesanal (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Certificação de diamantes em bruto para importação e exportação, KPCS - Kimberley Process Certification Scheme, competência para (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Certificação de entidade de conservação e restauro de bens do património cultural (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Certificação de entidade formadora (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Certificação de entidade para atividade de comercialização, instalação e ou manutenção de produtos e equipamentos de segurança contra incêndio em edifícios (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Comércio e indústria de bens e tecnologias militares credenciação de segurança nacional a entidades (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Credenciação de entidade para a divulgação de informação sobre medicamentos e produtos de saúde aos profissionais do Serviço Nacional de Saúde (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Credenciação de entidade prestadora de apoio ao emprego (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Credenciação de segurança a entidade para o exercício de atividades industriais, tecnológicas e de investigação (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Credenciação de segurança nacional a entidade para comércio e indústria de bens e tecnologias militares (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Credenciação para a rede portuguesa de museus (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Divulgação de informação sobre medicamentos aos profissionais do Serviço Nacional de Saúde, credenciação de entidade para (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Empresa de arqueologia, acreditação de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Entidade de conservação e restauro de bens do património cultural, certificação de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Entidade formadora, certificação de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Entidade prestadora de apoio ao emprego, credenciação de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Equipamento contra incêndios, credenciação de segurança a entidade para instalação de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Estatuto aduaneiro, autorização de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Exercício de atividade industrial, tecnológica e de investigação, credenciação de segurança a entidade para (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Gestão de candidaturas a fundos europeus, reconhecimento de competências para (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Idoneidade formativa a instituição de saúde, reconhecimento de (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: verificação de condições;450.10.444.01;Reconhecimento de competências para gestão de candidaturas a fundos europeus (verificação de condições)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Acreditação de empresa de arqueologia (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Acreditação de Unidade Produtiva Artesanal (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Autorização de Estatuto Aduaneiro (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Carta de Unidade Produtiva Artesanal (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Certificação de diamantes em bruto para importação e exportação, KPCS - Kimberley Process Certification Scheme, competência para (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Certificação de entidade de conservação e restauro de bens do património cultural (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Certificação de entidade formadora (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Certificação de entidade para atividade de comercialização, instalação e ou manutenção de produtos e equipamentos de segurança contra incêndio em edifícios (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Comércio e indústria de bens e tecnologias militares credenciação de segurança nacional a entidades (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Credenciação de entidade para a divulgação de informação sobre medicamentos e produtos de saúde aos profissionais do Serviço Nacional de Saúde (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Credenciação de entidade prestadora de apoio ao emprego (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Credenciação de segurança a entidade para o exercício de atividades industriais, tecnológicas e de investigação (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Credenciação de segurança nacional a entidade para comércio e indústria de bens e tecnologias militares (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Credenciação para a rede portuguesa de museus (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Divulgação de informação sobre medicamentos aos profissionais do Serviço Nacional de Saúde, credenciação de entidade para (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Empresa de arqueologia, acreditação de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Entidade de conservação e restauro de bens do património cultural, certificação de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Entidade formadora, certificação de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Entidade prestadora de apoio ao emprego, credenciação de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Equipamento contra incêndios, credenciação de segurança a entidade para instalação de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Estatuto aduaneiro, autorização de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Exercício de atividade industrial, tecnológica e de investigação, credenciação de segurança a entidade para (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Gestão de candidaturas a fundos europeus, reconhecimento de competências para (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Idoneidade formativa a instituição de saúde, reconhecimento de (emissão de título)
Reconhecimento de requisitos e competência técnica a entidades: emissão de título;450.10.444.02;Reconhecimento de competências para gestão de candidaturas a fundos europeus (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Acreditação de entidade para avaliação de conformidade (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Ajuramentação de entidade para avaliação de conformidade (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Autenticação de entidades reconhecedoras de regantes (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Avaliação de conformidade, acreditação de entidade para (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Avaliação de conformidade, ajuramentação de entidade para (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Avaliação de conformidade, certificação de entidade para (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Avaliação de conformidade, credenciação de entidade para (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Certificação de entidade para avaliação de conformidade (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Credenciação de entidade para avaliação de conformidade (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Reconhecimento de entidades gestoras operacionais da bolsa de terras (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Reconhecimento de entidades prestadoras do serviço de aconselhamento agrícola e/ou florestal (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade verificação de condições;450.10.445.01;Reconhecimento de organismos privados de controlo e certificação (verificação de condições)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Acreditação de entidade para avaliação de conformidade (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Ajuramentação de entidade para avaliação de conformidade (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Autenticação de entidades reconhecedoras de regantes (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Avaliação de conformidade, acreditação de entidade para (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Avaliação de conformidade, ajuramentação de entidade para (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Avaliação de conformidade, certificação de entidade para (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Avaliação de conformidade, credenciação de entidade para (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Certificação de entidade para avaliação de conformidade (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Credenciação de entidade para avaliação de conformidade (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Reconhecimento de entidades gestoras operacionais da bolsa de terras (emissão de título)
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Reconhecimento de entidades prestadoras do serviço de aconselhamento agrícola e/ou florestal
Acreditação de entidade para prestação de serviços de avaliação de conformidade: emissão de título ;450.10.445.02;Reconhecimento de organismos privados de controlo e certificação (emissão de título)
Reconhecimento de fundações;450.10.446;Alteração de estatutos de fundação
Reconhecimento de fundações;450.10.446;Autorização de representação de fundação estrangeira
Reconhecimento de fundações;450.10.446;Fundação estrangeira, autorização de representação a
Reconhecimento de fundações;450.10.446;Fundação privada, reconhecimeto de
Reconhecimento de fundações;450.10.446;Fundação pública, reconhecimento de
Reconhecimento de fundações;450.10.446;Fundação, alteração de estatutos da
Reconhecimento de fundações;450.10.446;Reconhecimento de fundação privada
Reconhecimento de fundações;450.10.446;Reconhecimento de fundação pública
Reconhecimento da natureza, âmbito e representatividade de entidades;450.10.447;Âmbito de atuação de entidade, reconhecimento de
Reconhecimento da natureza, âmbito e representatividade de entidades;450.10.447;Caráter representativo de entidade, reconhecimento de
