Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;
;700.20.404;Realização de cuidados de saúde de ambulatório médico;"Intervenção terapêutica em ambiente hospitalar.
Inicia com o encaminhamento do utente para as sessões e termina com a alta, ou seja, com o fim do episódio de tratamento em hospital de dia, tendo sido realizadas todas as sessões de hospital de dia prescritas.
";"Sessões de radioterapia#
Sessões de psiquiatria#
Sessões de Hematologia/ Imunohemoterapia# 
Cedência de medicação a utentes em ambulatório#

";;As cirurgias em ambulatório devem ser consideradas em 700.20.401 – Realização de cirurgias de ambulatório;"Circular Normativa DGS 6/2009#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Circular Normativa  ACSS nº 6/ 31 _07_2009#
Lei 67/98 (3ª versão Lei 103/2015)#";"PE

";S;"HH#
";UPCS#;Comunicar#;"400.10.040#
500.10.001#
700.10.001#
700.10.002#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.401#
700.20.402#
700.20.403#
700.20.407#
700.20.500#
700.20.600#";"Registo nacional de utentes#
Realização de auditorias#
Referenciação de utentes para consultas#
Referenciação para a rede de cuidados continuados integrados#
Registo clínico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
Atendimentos urgentes#
Prestação de cuidados de convalescença#
Prestação de cuidados de reabilitação#
Prestação de cuidados paliativos#";"Cruzada#
Suplementar#
Síntese (sintetiza)
Cruzada#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente ;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.405;Prestação de assistência médica no estrangeiro;"Cuidados de saúde hospitalares especializados prestados no estrangeiro que, por falta de meios técnicos ou humanos, não possam ser prestados em Portugal.
Inicia com a assunção de que o país não dispõe de condições para tratar o doente e que o mesmo pode ser referenciado para outro país e termina com o regresso do utente ao país.
Inclui os procedimentos específicos definidos na lei, nomeadamente, o relatório clínico, o parecer da Comissão de Assessoria Técnica e a decisão final da autoridade de saúde competente.  
";;;;DL 177/92#;;PE;S;"HH#
";"ACSS#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#";"Apreciar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#";"400.10.040#
500.10.001#
700.10.006#
700.20.400#
700.20.401#
700.20.402#
";"Registo nacional de utentes#
Realização de auditorias#
Registo clínico de utentes#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
";"Cruzada#
Suplementar#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#


";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.406;Apoio ao diagnóstico e terapêutica;"Atividades que concorrem para o apoio à realização do diagnóstico, tratamento e acompanhamento de doenças no âmbito de Programas Verticais.
Inicia com a inclusão do utente no programa e termina com a cessação da prestação de cuidados que lhe deu origem.
Incluí todos os atos necessários ao tratamento.
";"Execução de programas verticais Hospitalares#
Execução de atividades incluidas no Contrato-Programa#";"Programas hospitalares de Hemodiálise#
Programas hospitalares de Saúde Sexual e Reprodutiva#,
Programas hospitalares de Próteses#
Programas hospitalares de VIH#
Programas hospitalares de Esclerose Multipla#";;"Circular Normativa DGS 6/2009#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"Metodologia de contratualização HH e ULS, 2013#
Circular Normativa  ACSS nº 6/ 31 _07_2009#
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;"HH#
";"ACSS#
ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#";"Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Decidir#";"400.10.040#
150.10.600#
150.20.300#
500.10.001#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.403#


";"Registo nacional de utentes#
Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Realização de auditorias#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de consultas externas#
";"Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Síntese (sintetizado)#
Cruzada#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#";Reduzida;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.407;Prestação de cuidados de convalescença;"Internamento para utentes com necessidade de cuidados clinicos de reabilitação, em unidades específica e por um período de tempo inferior a trinta (30) dias articulado com Hospital.
Inicia com o tratamento e supervisão clínica, continuada e intensiva na sequência de internamento hospitalar e termina preferencialmente com a recuperação global do utente e nota de alta.
Inclui o diagnóstico e todos os atos necessários ao tratamento.

";;;Os cuidados de reabilitação deve ser considerados em 700.20.500 – Prestação de cuidados de reabilitação#;"DL 101/2006#
DL 136/2015#
Portaria 174/2014#
Portaria 289-A/2015#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"DL101/2006, alterado pelo DL 136/2015#
Portaria 174/2014, alterada pela Portaria 289-A/2015 #
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;UPCS#;"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACES#
ACSS#";"Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Apreciar#
Decidir#";"650.20.306#
400.10.040#
450.30.504#
500.10.001#
700.10.002#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.401#
700.20.402#
700.20.403#
700.20.404#";"Prestação de cuidados alimentares e de higiene a institucionalizados#
Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação para a rede de cuidados continuados integrados#
Registo clínico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas externas#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
";"Cruzada#
Cruzada#
Cruzada#
Suplementar#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
";"Elevada

";S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do  falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.500;Prestação de cuidados de reabilitação;"Cuidados de saúde prestados a doentes em unidades de internamento de caracter temporário para prestar apoio social e cuidados de saúde de manutenção a pessoas que previnam ou retardem o agravamento da situação de dependência, favorecendo o conforto e a qualidade.
Inicia com o internamento e termina com a alta e a recuperação global do utente.
Inclui, o diagnóstico e definição das diferentes patologias, a identificação de deficiências e incapacidades existentes, a definição do prognóstico e avaliação do potencial de reabilitação, o planeamento e prescrição do tratamento.
";;;Os cuidados de convalescença devem ser considerados em 700.20.407 – Prestação de cuidados de convalescença;"DL 101/2006#
DL 136/2015#
Portaria 174/2014#
Portaria 289-A/2015#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";"DL101/2006, alterado pelo DL 136/2015#
Portaria 174/2014, alterada pela Portaria 289-A/2015 #
Lei 67/98 (3ª versão Lei 103/2015)#";PE;S;UPCS#;"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACES#
ACSS#";"Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Apreciar#
Decidir#";"400.10.040#
450.30.504#
500.10.001#
700.10.002#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.401#
700.20.402#
700.20.403#
700.20.404#";"Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação para a rede de cuidados continuados integrados#
Registo clínico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#
";"Cruzada#
Cruzada#
Suplementar#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Elevada;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do  falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.600;Prestação de cuidados paliativos;"Prestação de cuidados de saúde especializados dirigidos a pessoas com doenças incuráveis em fase avançada e/ou terminal, com intenção de melhorar a qualidade de vida dos doentes e suas famílias através do alívio do sofrimento decorrente dos sintomas físicos, mas também de problemas psicológicos, sociais e espirituais.
Inicia com a referenciação à unidade e termina quando a equipa finaliza o acompanhamento.
Inclui o diagnóstico e todos os atos necessários ao tratamento.
";"Situações de internamento nas unidades hospitalares específicas#
Situações de internamento nas unidades da rede de cuidados continuados integrados e abrange, sempre que for entendido necessário, o apoio domiciliário e o apoio à família#";;;"DL 101/2006#
Portaria 174/2014#
Lei 12/2005#
Lei 26/2016#
Lei 67/98#
Lei 101/99#
Lei 21/2014#";Lei 67/98 (3ª versão Lei 103/2015)#;PE;S;UPCS#;"ARS-N#
ARS-C#
ARS-LVT#
ARS-Aln#
ARS-Alg#
ACES#
ACSS#";"Decidir#
Decidir#
Decidir#
Decidir#
Decidir#
Apreciar#
Decidir#";"400.10.040#
450.30.504#
500.10.001#
700.10.002#
700.10.006#
700.20.200#
700.20.300#
700.20.400#
700.20.401#
700.20.402#
700.20.403#
700.20.404#";"Registo nacional de utentes#
Certificação de óbito#
Realização de auditorias#
Referenciação para a rede de cuidados continuados integrados#
Registo clinico de utentes#
Prestação de cuidados de saúde personalizados#
Prestação de cuidados de emergência médica#
Internamento de doentes agudos e crónicos#
Realização de cirurgias de ambulatório#
Realização de consultas de especialidade#
Atendimentos urgentes#
Realização de cuidados de saúde de ambulatório médico#";"Cruzada#
Cruzada#
Suplementar#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#
Cruzada#";Média;S;"15






";;"#Critério legal:
Código Penal, [DL 48/95], artº 118 - Prazo máximo de prescrição do procedimento criminal.";Data de extinção da entidade sobre que recai o procedimento;Data do falecimento utente;CP;"#Critério de densidade informacional:
A informação encontra-se sintetizada e é recuperável no PN 700.10.006 (Registo clinico de utentes).
A enumeração e tipificação dos casos é recuperável através das estatísticas: PN 150.40.001 (Realização de operações estatísticas oficias) e PN 150.40.500 (Recolha e tratamento de dados estatísticos de apoio à gestão).
Estas sínteses permitem recuperar as características gerais. A aplicação de um critério de amostragem permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo. 
Para a conservação parcial toma-se como base as necessidades decorrentes do tratamento de doenças hereditárias e a imprevisibilidade dos estudos nesta área, conjugando-se dois métodos:
- Amostragem aleatória, em que se toma como base a necessidade de dispor de documentação que apoie a investigação clínica e epidemiológica na procura de novas evidências em favor da prática clínica ou terapêutica e a impossibilidade de conservar toda a produção. A grelha para seleção da amostragem encontra-se no final desta página.
- Amostragem seletiva de modo a que a informação preservada permita a investigação, nomeadamente estudos de prevalência, estudos de casos-controlo, estudos de coorte e história clínica de patologias genéticas, hereditárias e/ou outras patologias que o “ estado da arte” venha a relevar.
";;

;700.20.700;Vacinação de animais;"Cuidados de prevenção primária de saúde praticados em espécies animais ao longo da sua vida com o objetivo de imunização.
Inicia com o pedido ou com a verificação da necessidade de vacina e termina com a administração da mesma.
Inclui verificação das vacinas em falta ou necessárias e registo da vacina administrada.";"Vacinação de animais em Centros de Recuperação de Animais Selvagens não abertos ao público#
Vacinação de animais domésticos ou de companhia#
Vacinação de animais de exploração pecuária#
Vacinação de animais selvagens em cativeiro#";;;"Portaria 264/2013#
DL 314/2003#
Regulamento (CE) 998/2003#";;PE;S;"AL#
GNR#
PSP#";EDA#;Iniciar#;"150.20.300#
300.30.008#
400.10.400#
400.10.402#
500.10.301#
";"Avaliação de atividades#
Registo de documentos e informação#
Registo animal#
Registo genealógico de animais#
Realização de fiscalização#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#";Reduzida;S;5;;"#Critério legal:
[Portaria 264/2013], Normas técnicas de execução regulamentar do Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses, artº 2, nº 1 (validade do boletim de sanidade (boletim de saúde animal)).
#Critério de utilidade administrativa:
Processamento do registo da vacinação no boletim.";Data de conclusão do procedimento;Data de encerramento do processo documental;E;"#Critério de densidade informacional:
Informação sintetizada recuperável em:
- PN 150.20.300 - Avaliação de atividades (atuação da entidade), 
- PN 300.30.008 - Registo de documentos e informação (casos tratados), 
- PN 400.10.402 - Registo genealógico de animais.";;

;700.20.701;Sequestro sanitário de animais;"Aplicação compulsiva de medidas de caráter sanitário a animais suspeitos de serem portadores de zoonoses.
Inicia com o pedido de sequestro e termina com a morte natural do animal ou com o envio para adoção, restituição ou eutanásia.
Inclui notificação às entidades competentes e ao proprietário, recolha do animal, quarentena sob vigilância veterinária, elaboração de informação sobre o estado de saúde do animal, comprovativo do pagamento de taxas, quando devido, e articulação com o laboratório competente para isolamento do agente patogénico, em caso de morte do animal.";"Recolha de animais vadios com suspeita de raiva ou com doença terminal#
Recolha de animais com dono com suspeita de raiva ou com doença terminal#";;"O abate ou occisão de animais devem ser considerados em 700.20.901 – Eutanásia de animais#
A incineração ou outra forma adequada de destruição de cadáveres de animais devem ser consideradas em 710.10.002 – Recolha de resíduos#
";"Resolução da Assembleia da República 93/2015#
Portaria 264/2013#
DL 314/2003#";;PE;S;"AL#
GNR#
PSP#";EDA#;Iniciar#;"150.20.300#
300.30.008#
400.10.400#
400.10.402#
500.10.001#
500.10.301#
700.20.901#
710.10.300#";"Avaliação de atividades#
Registo de documentos e informação#
Registo animal#
Registo genealógico de animais#
Realização de auditorias#
Realização de fiscalização#
Eutanásia de animais#
Recolha de animais#



";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Cruzada#";Reduzida;S;5;;"#Critério legal:
[Portaria 264/2013], Normas técnicas de execução regulamentar do Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses, artº 2, nº 1 (validade do boletim de sanidade (boletim de saúde animal)).
#Critério de utilidade administrativa:
Processamento do registo de sequestro no boletim.";Data de conclusão do procedimento;Data de encerramento do processo documental;E;"#Critério de densidade informacional:
Informação sintetizada recuperável em:
- PN 150.20.300 - Avaliação de atividades (atuação da entidade), 
- PN 300.30.008 - Registo de documentos e informação (casos tratados), 
- PN 400.10.402 - Registo genealógico de animais.";;

;700.20.800;Prestação de cuidados curativos veterinários;"Cuidados de saúde animal praticados por veterinário.
Inicia com a identificação da necessidade de intervenção e termina com a eliminação ou atenuação do problema.
Inclui elaboração de diagnóstico, aplicação de fármacos, intervenção cirúrgica, registo de ato médico veterinário praticado e acompanhamento do animal.";"Implantação de micro-chips para identificação do animal#
Prestação de cuidados curativos a todas as espécies animais#
Recolha domiciliária de animais com doença terminal e respetivos abate e occisão#";;;Portaria 1005/92#;;PE;S;"AL#
GNR#
PSP#";EDA#;Iniciar#;"150.20.300#
300.30.008#
400.10.400#
400.10.402#
500.10.300#
700.20.901#";"Avaliação de atividades#
Registo de documentos e informação#
Registo animal#
Registo genealógico de animais#
Realização de fiscalização#
Eutanásia de animais#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Sucessão (sucessor)#
 ";Reduzida;S;5;;"#Critério legal:
[Portaria 264/2013], Normas técnicas de execução regulamentar do Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses, artº 2, nº 1 (validade do boletim de sanidade (boletim de saúde animal)).
#Critério de utilidade administrativa:
Processamento do registo da prestação de cuidados curativos no boletim.";Data de conclusão do procedimento;Data de encerramento do processo documental;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo das características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.";;

Harmonização;700.20.900;Prestação de cuidados de reabilitação animal;;;;;;;PE;N;;;;;;;;;;;;;;;;Projeto de Harmonização;

;700.20.901;Eutanásia de animais;"Abreviamento da vida de um animal enfermo incurável em sofrimento, de maneira controlada e assistida, por um especialista.
Inicia com a solicitação ou decisão de eutanásia e termina com a morte do animal.
Inclui diagnóstico.";"Eutanásia a animais  alojados em canis e gatis#
Eutanásia a animais externos enfermos, incuráveis e em sofrimento, que solicitem a intervenção de veterinário#";;;Portaria 264/2013#;Portaria 264/2013, de 16 de agosto, que aprova as normas técnicas de execução regulamentar do Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses.;PE;S;"AL#
GNR#
PSP#";EDA#;Iniciar#;"150.20.300#
300.30.008#
400.10.400#
400.10.402#
500.10.300#
700.20.701#
700.20.800#";"Avaliação de atividades#
Registo de documentos e informação#
Registo animal#
Registo genealógico de animais#
Realização de fiscalização#
Sequestro sanitário de animais#
Prestação de cuidados curativos veterinários#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#";Reduzida;S;5;;"#Critério legal:
[Portaria 264/2013], Normas técnicas de execução regulamentar do Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses, artº 2, nº 1 (validade do boletim de sanidade (boletim de saúde animal)).
#Critério de utilidade administrativa:
Processamento do registo da eutanásia no boletim.";Data de conclusão do procedimento;Data de encerramento do processo documental;E;"#Critério de densidade informacional:
Informação sintetizada recuperável no PN 150.20.300 - Avaliação de atividades (atuação da entidade), no PN 300.30.008 - Registo de documentos e informação (casos tratados), no PN 400.10.400 - Registo animal  e no PN 400.10.402 -  Registo genealógico de animais. ";"A informação relativa ao registo animal é conservada no âmbito da Função 400; sendo o boletim sanitário do animal propriedade dos eu dono, a informação acumulada relativa ao animal é escassa.";

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;

