Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;
;550.10.600;"Reposição da ordem e gestão de incidentes de segurança
";"Operações reativas ou de intervenção não programadas a fenómenos de desacatos, tumultos, violência concertada, catástrofes naturais, incidentes críticos ou acidentes não naturais que provocam a alteração dos níveis de segurança de pessoas e bens, assim como do normal funcionamento das instituições.
Inicia com a sinalização do foco de insegurança e termina com o relato da operação.
Inclui diagnóstico de situação, operacionalização e atualização do ponto de situação.";"Resolução e gestão de incidentes críticos#
Intervenção táctica em situações de violência concertada e de elevada perigosidade, complexidade e risco#
Inactivação de explosivos e segurança em subsolo#
Cooperação com as forças militares ao nível de reforço e apoio às forças de segurança#
Gestão de incidente inopinado, configurando uma situação de flagrante delito ou que exija a imediata intervenção policial (sequestro, tomada de reféns ou ameaça/descoberta de engenho explosivo)#";;"A reposição da ordem e gestão de incidentes de segurança que decorra do policiamento do espaço público deve ser considerada em 550.10.001 – Segurança de espaços públicos e abertos ao público#
A reposição da ordem e gestão de incidentes de segurança que decorra da Ação de segurança a eventos de alto risco deve ser considerada em 550.10.002 – Ação de segurança a eventos de alto risco#
A investigação criminal dos incidentes deverá ser considerada em 600.10 – Prevenção e investigação criminal";"DL 197/2008#
Lei 19/2004#
Lei Orgânica 6/2014#
RCM 19/2013#
Lei Orgânica 1-A/2009#
Lei Orgânica 6/2014#
Lei Constitucional 1/2005#
DL 406/74#
Lei Orgânica 1/2011#
DL 48/95#
DL 13/2017#
";"DL 197/2008#
Lei 19/2004#
MIFA2014 - Missões Específicas das Forças Armadas, Conselho Superior de Defesa Nacional a 30 de julho#
SF2014 - Sistema de Forças, Conselho de Chefes de Estado-Maior (CCEM), 2014#
Lei Orgânica 6/2014 (Conceito Estratégico Militar, art 3)#
Resolução do Conselho de Ministros 19/2013 - Conceito Estratégico de Defesa Nacional)#
Lei Orgânica 1-A/2009 - LOBOFA - Lei Orgânica de Bases da Organização das Forças Armadas, repúblicada pela Lei Orgânica 6/2014#
Leis Orgânicas das FSS#
CRP, nº 1, art 18 - Força jurídica#
DL 406/74 (Lei Orgânica 1/2011)#
Código Penal#
DL 13/2017#
";PE;S;"FSS#
FA#
AL#
";"SEF#
ANPC#
FSS#
FA#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#";"150.20.300#
150.30.001#
500.10.001#
500.10.301#
500.30.001#
500.20.300#
500.20.002#
500.20.003#
550.10.002#
600.10.500#




";"Avaliação de atividades#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Realização de auditorias#
Realização de fiscalização#
Processamento de contraordenações#
Procedimento disciplinar#
Realização de inquérito#
Realização de sindicância#
Ação de segurança a eventos de alto risco#
Processamento de inquérito-crime#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (antecessor)#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar o particular e individual, mas apenas o geral.
A informação criada é representativa da atuação isolada ou articulada de forças de segurança em ações de complexidade elevada e com recursos a uma elevada percentagem de operacionais, com grande impacto ao nível da segurança pública.   
As informações referentes à coordenação das operações e da cooperação das forças militares com as forças e serviços de segurança não é recuperada noutro PN.";;;;;;;;;;;;

;550.20;Proteção civil, socorro de emergência e prevenção de acidentes;Operações relacionadas com a prestação de serviços preventivos e reativos a situações de emergência e de prevenção de acidentes. Inclui atividades de vigilância e análise de risco, ações de alerta de situações de risco, gestão das medidas corretivas, pedidos de auxílio e, ainda, ações de socorro a pessoas e bens em caso de acidente, catástrofe ou calamidade, prestados por qualquer força de segurança, de defesa, de proteção civil e/ou por quaisquer outras entidades.;"Difusão de alertas de risco (alertas sobre o clima, sismos, estado do mar, incêndios, etc.)#
Apoio preventivo de bombeiros a espetáculos e eventos#
Processamento de pedidos de socorro em caso de incêndio, naufrágio, inundação, etc#
Apoio à localização de sinistrados#
Transporte de sinistrados#";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;550.20.001;Emissão de avisos e declaração de alertas;"Operações de advertência e sinalização de perigos e riscos potenciais ou iminentes.
Inicia com a emissão do aviso das condições de perigo ou risco e termina com o registo da emissão de alerta.
Inclui articulação de entidades competentes para a análise de dados, validação de alertas e consequente emissão de alerta para os serviços e agentes competentes.
";"Difusão de alertas referente ao uso de medicamentos#
Emissão de alertas referente ao consumo de produtos alimentares#
Emissão de alerta de risco de derrocada de arribas#
Emissão de alerta de ameaça de sismo#
Emissão de alerta de aumento de radiação ionizante#
Emissão de alerta de concentração de raios ultravioletas#
Emissão de aviso de cheias e secas#
Emissão de aviso de incêndio#
Emissão de avisos metereológicos#
Emissão de aviso nuclear#";;"A recolha de dados sobre os índices de poluição ambiental deve ser considerada em 800.10.301 – Monitorização de índices da qualidade ambiental#
A recolha de dados sobre os recursos naturais, espécies e paisagens deve ser considerada em 800.10.302 – Monitorização de recursos naturais, espécies e paisagens#
A recolha de dados sobre o abastecimento e distribuição de água e do saneamento de águas residuais deve ser considerada em 800.10.303 – Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#";"DL 72/2011#
Lei 65/2007#
DL 75/2007#
Portaria 338/2007#
DL 134/2006#
DL 207/2006#
Lei 54/2005#
Lei 58/2005#
";;PC;S;"ANPC#
AL#
INFARMED#
ASAE#
DGS#
IPMA#
ANMP#
APA#";AP#;Comunicar#;"150.20.300#
300.40.504#
300.40.507#
500.10.001#
500.10.301#
500.20.002#
500.20.003#
550.10.005#
550.20.002#
550.20.004#
800.10.300#
800.10.301#
800.10.302#
800.10.303#
800.10.304#
800.10.306#

";"Avaliação de atividades#
Controlo de segurança e vigilância de instalações e equipamentos públicos#
Implementação de planos de contingência#
Realização de auditorias#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Segurança de infraestruturas estratégicas#
Ação de vigilância#
Realização de piquetes de prevenção#
Controlo ambiental de infraestruturas e equipamentos#
Monitorização de índices da qualidade ambiental#
Monitorização de recursos naturais, espécies e paisagens#
Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#
Monitorização de segurança de medicamentos após autorização de introdução no mercado (AIM)#
Monitorização da segurança de produtos de saúde#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Informação não recuperável noutro PN.
A informação tem grande impacto ao nível da segurança pública.



";;;;;;;;;;;;

;"550.20.002



";Ação de vigilância;"Operações preventivas de reconhecimento e proteção através da vigia e acompanhamento de comportamento e atividades de pessoas ou de espaços e emissão de pedido de proteção e socorro aquando da deteção de risco ou de perigo iminente.
Inicia com a ação de vigilância planeada e termina com o relato da operação.
Inclui emissão de alerta e diagnóstico de situação, quando necessário.";Monitorização de recursos tecnológicos de vigilância e alerta#;"Vigilância de matas e florestas#
Vigilância da alteração de cursos de água#
Vigilância contra derrames tóxicos#
Vigilância à radioatividade no ambiente#
Vigilância contra desastres naturais#
Vigilância contra intempéries#
Vigilância marítima#
Vigilância de ondas de calor#
Vigilância de poluentes atmosféricos#";"A instalação de sistemas automáticos de deteção de incêndios deve ser considerada em 300.40.503 – Conservação e valorização de edifícios, infraestruturas e equipamentos públicos#
A ação de vigilância das forças de segurança no âmbito do policiamento deve ser considerada no 550.10.001 – Segurança de espaços públicos e abertos ao público#
A ação de vigilância no âmbito de apoio à investigação criminal deve ser considerada em 600.10.504 – Ação de pesquisa e vigilancia#
O pedido de proteção e socorro deve ser considerado em 550.20.500 – Ação de proteção e socorro#
A recolha de dados sobre os índices de poluição ambiental deve ser considerada em 800.10.301 – Monitorização de índices da qualidade ambiental#
A recolha de dados sobre os recursos naturais, espécies e paisagens deve ser considerada em 800.10.302 – Monitorização de recursos naturais, espécies e paisagens#
A recolha de dados sobre o abastecimento e distribuição de água e do saneamento de águas residuais deve ser considerada em 800.10.303 – Monitorização do abastecimento e distribuição de água e do saneamento de águas residuais#";"NOP 3101/2013#
DL 49-A/2012#
Lei 11/2009#
DL 220/2008#
DL 344/2007#
Lei 58/2005#
";"Norma Operacional Permanente (NOP) 3101/2013#
DL 49-A/2012#
Lei 11/2009#
DL 220/2008#
DL 344/2007#
Lei 58/2005#
";PE;S;"PMar#
APA#
IPMA#
DGRM#
ICNF#
GNR#
AL#";"ANPC#
";"Assessorar#

";"150.20.300#
150.40.500#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
550.20.001#
550.20.500#
800.10.301#
800.10.302#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Emissão de avisos e declaração de alertas#
Ação de proteção e socorro#
Monitorização de índices da qualidade ambiental#
Monitorização de recursos naturais, espécies e paisagens#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)
Suplementar#
Cruzada#
Cruzada#";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação/tipificação dos casos).";;;;;;;;;;;;

;550.20.003;Realização de exercícios e simulacros;"Preparação sistemática de pessoas e animais através da simulação de cenários de emergência e catastróficos, visando treinar a destreza, os equipamentos e a comunicação das forças de proteção civil e socorro no terreno e testar os procedimentos planeados.
Inicia com a identificação da necessidade do exercício ou com o pedido de simulacro das entidades e termina com o envio de recomendações.
Inclui pedido às entidades (quando a iniciativa é das forças de segurança), análise do pedido, elaboração de orçamento, indicação do pagamento, quando devido, reunião preparatória, acionamento dos meios necessários, operacionalização e relato do exercício e simulacro.";"Realização de simulacros por iniciativa de entidades públicas#
Realização de simulacros a pedido de entidades privadas#
Realização de exercícios e operações de âmbito militar, nacionais ou internacionais#";;"A realização de exercícios e simulacros que decorra de ações de formação deve ser considerada em 750.20.600 – Realização de atividades de ensino ou formação#
A realização de exercícios militares deve ser considerada em 550.30.006 – Realização de exercícios militares#
A elaboração de orçamento do exercício e simulacro contratualizado deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#";"NOP 3101/2013#
DL 220/2008#
Portaria 1532/2008#
";"Norma Operacional Permanente (NOP) 3101/2013#
DL 220/2008#
Portaria 1532/2008#
";PC;S;"FSS#
FA#
AL#
ANPC#
";"AP#
FSS#
FA#
ANPC#
INMLCF#
PJ#
AL#";"Iniciar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
";"150.10.200#
150.10.300#
150.10.400#
150.20.001#
150.20.300#
300.10.005#
500.10.001#
";"Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Preparação de regras e orientações internas#
Avaliação de atividades#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Realização de auditorias#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
";Elevada;S;;;;;;;;;;;;;;;;;;;

;550.20.003.01;Realização de exercícios e simulacros: preparação;"Inicia com a identificação da necessidade do exercício ou com a comunicação da requisição do serviço pelas entidades e termina com a a aprovação do exercício ou simulacro.
Inclui pedido às entidades (quando a iniciativa é das forças de segurança), reunião preparatória, planeamento da ação, avaliação de risco e acionamento dos meios necessários.";;;;;;;;;;;;;;;;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
A informação relativa à realização de exercícios e simulacros está sintetizada no relato da operação ou nas recomendações (PN 550.20.003.02 - Realização de exercícios e simulacros: condução e registo).";;;;;;;;;;;;

;550.20.003.02;Realização de exercícios e simulacros: condução e registo;"Inicia com a operacionalização dos meios e intervenientes e termina com o envio do relato da operação ou recomendações, quando devido.
Inclui a produção do relato.";;;;;;;;;;;;;;;;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Informação síntese.
A informação criada é representativa da atuação de forças de proteção e socorro em ações de complexidade elevada e com recursos a uma elevada percentagem de operacionais, com grande impacto ao nível da proteção e socorro a bens e pessoas.    ";;;;;;;;;;;;

;550.20.004;Realização de piquetes ocasionais de prevenção;"Operação de segurança preventiva em situações de potencial risco, no âmbito de eventos ocasionais que ocorram no espaço público ou aberto ao público.
Inicia com o pedido interno ou com a comunicação da requisição do serviço pelas entidades e termina com o relato do exercício.
Inclui planeamento da ação, avaliação de risco, identificação dos meios necessários, elaboração de orçamento da ação e operacionalização.";"Realização de piquetes por iniciativa de entidades públicas#
Realização de piquetes a pedido de entidades privadas#";;A elaboração de orçamento do piquete de prevenção contratualizado deve ser considerada em 300.10.005 – Transação e transmissão de bens móveis não culturais e contratação de serviços#;"DL 309/2002#
DL 141/2009#
DL 268/2009#
DL 48/2011#";;PC;S;"FSS#
AL#
ANPC#
";AP#;Iniciar#;"150.20.300#
150.40.500#
300.10.005#
450.10.221#
500.10.001#
500.10.300#
500.10.301#
500.20.002#
500.20.003#
550.20.001#
550.20.500#
900.10.001#
900.10.002#
950.20.600#
";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Transação e transmissão de bens móveis não culturais e contratação de serviços#
Licenciamento de recintos itinerantes ou improvisados#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Emissão de avisos e declaração de alertas#
Ação de proteção e socorro#
Conceção e realização de atividades ou acontecimentos artísticos#
Conceção e realização de atividades desportivas ou recreativas#
Criação e atualização de contactos institucionais#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Reduzida;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão (quantificação/tipificação dos casos).";;;;;;;;;;;;

;"550.20.005

";"Identificação de recursos e meios mobilizáveis para atuação no âmbito da proteção e socorro



";"Identificação e caracterização dos recursos e meios disponíveis e mais facilmente mobilizáveis, ao nível local, regional e nacional em situação de acidente grave ou catástrofe.
Inicia com identificação e termina com a anulação do registo.
Inclui recolha de informação.
";"Reconhecimento e relação de recursos e meios públicos utilizáveis#
Reconhecimento e relação de recursos e meios privados utilizáveis#";;;"Lei 27/2006#
Lei 80/2015#
";;PC;S;"ANPC#
AL#
";AP#;Assessorar#;"150.10.200#
150.10.300#
150.10.400#
150.20.001#
150.20.200#
150.20.404#
150.30.001#
300.10.700#
300.10.601#
300.30.008#
300.40.501#
300.50.401#
500.10.301#
500.20.002#
500.20.003#
500.20.300#
";"Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito regional#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Preparação de regras e orientações internas#
Planeamento de necessidades de recursos humanos#
Prestação de contas#
Produção e intercâmbio de informação estratégica para segurança interna e defesa#
Depósito de bens não culturais#
Requisição temporária de bens do domínio privado#
Registo de documentos e informação#
Conservação e proteção de informação#
Processamento de pedidos de material consumível#
Realização de fiscalização#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
";"Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Síntese (sintetizado)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetiza)#
Síntese (sintetizado)#
Cruzada#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
";Elevada;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância) e de fiscalização (PN 500.10.301 - Realização de fiscalização).";Data de conclusão do procedimento;Data de vigência do inventário;E;"#Critério de densidade informacional:
Informação sintetizada no
PN 150.20.001 - Preparação de regras e orientações internas.";;;;;;;;;;;;

;"550.20.006

";Atendimento telefónico de emergência;"Prestação em tempo útil de informações e de adequado encaminhamento em situações de urgência relativas a questões de saúde, incêndios, assaltos e outras, visando assegurar a interoperabilidade, compatibilidade e interação entre as centrais de emergência e os sistemas de informação das várias entidades envolvidas e acionamento dos sistemas de socorro.
Inicia com a receção da chamada e termina com o encaminhamento adequado para a resposta de emergência.
Inclui informações necessárias ao correto encaminhamento e acionamento dos meios de resposta.
";"Atendimento, em central telefónica, para ocorrer a situações de emergência#

";;"A prestação de assistência médica a vítimas de acidente ou de doença súbita deve ser considerada em 700.20.300 – Prestação de cuidados de emergência médica#
A operacionalização de ações de socorro deve ser considerada em 550.20.500 – Ação de proteção e socorro#";"DL 167/2006#
DL 73/97#
";;PE;S;FSS#;"PSP#
GNR#
ANPC#
INEM#
MP#
FA#
AMN#
APA#
SGMAI#
AL#";"Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Apreciar#
Assessorar#
Assessorar#";"150.20.300#
150.40.500#
500.10.001#
550.10.005#
550.20.500#
700.20.102#";"Avaliação de atividades#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Realização de auditorias#
Segurança de infraestruturas estratégicas#
Ação de proteção e socorro#
Prevenção de crises pandémicas e situações de emergência sanitária ou de saúde pública#";"Síntese (sintetizado)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#";Média;S;5;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta para processamento do PN 150.40.500 - Recolha de tratamento de dados estatísticos de apoio à gestão e para o apuramento da responsabilidade em sede de PN 500.10.001 - Realização de auditorias (no que diz respeito à atuação da Administração).
";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades;
PN 150.40.500 - Recolha de tratamento de dados estatísticos de apoio à gestão.";;;;;;;;;;;;

;"550.20.500

";"Ação de proteção e socorro

";"Operação de auxílio ou assistência prestada em situações de perigo ou de riscos naturais ou tecnológicos com entidades militares e civis.
Inicia com a decisão do tipo de intervenção e termina com o relato da operação.
Inclui diagnóstico de situação, acionamento dos meios e recursos necessários e operacionalização.
Inclui, ainda, as ações de proteção de pessoas e bens que se encontrem em situações de perigo em colaboração com entidades militares e civis.

";"Busca e salvamento marítimo, aéreo e terrestre#
Intervenção em caso de acidente rodoviário, marítimo, ferroviário ou aéreo#
Intervenção em caso de catástrofe natural#
Intervenção em caso de cheias ou inundações#
Intervenção em caso de incêndio#
Ocorrência de falsos alarmes#
Transporte de sinistrados e doentes#
Transporte de órgãos para transplante#
Apoio sanitário#
Evacuações médicas#
Proteção em caso de contaminação nuclear, biológica, química e radiológica#
Criação de infraestruturas provisórias#
Preparação e resposta a emergências radiológicas e nucleares#";;"A assistência médica que decorra no transporte de sinistrados e doentes deve ser considerada em 700.20.300 – Prestação de cuidados de emergência médica#
A ajuda humanitária no estrangeiro deve ser considerada em 200.30.001 – Coordenação e execução de ações de ajuda humanitária e de emergência#
O acolhimento de emergência enquanto resposta de proteção social deve ser considerado em 650.20.600 – Acolhimento de emergência em equipamentos de apoio social#
";"Lei Orgânica 6/2014#
RCM 19/2013#
Lei Orgânica 1-A/2009#
Lei Orgânica 6/2014#
NOP 3101/2013#
DL 220/2008#
Lei 65/2007#
Lei 53/2007#
Lei 63/2007#
DL 75/2007#
DL 78/2007#
Lei 27/2006#
DL 252/2000#";"MIFA2014 - Missões Específicas das Forças Armadas, Conselho Superior de Defesa Nacional a 30 de julho#
SF2014 - Sistema de Forças, Conselho de Chefes de Estado-Maior (CCEM), 2014#
Lei Orgânica 6/2014 (Conceito Estratégico Militar, art 3)#
Resolução do Conselho de Ministros 19/2013 - Conceito Estratégico de Defesa Nacional)#
Lei Orgânica 1-A/2009 - LOBOFA - Lei Orgânica de Bases da Organização das Forças Armadas, repúblicada pela Lei Orgânica 6/2014#
Norma Operacional Permanente (NOP) 3101/2013#
DL 220/2008#
Lei 65/2007#
Lei 53/2007, art 2, nº 2#
Lei 63/2007, art 3, nº 1, o)#
DL 75/2007#
DL 78/2007, art 2, h)#
Lei 27/2006#
DL 252/2000, art 2, nº 2, c)#";PE;S;"AL#
ANPC#
FSS#
FA#
";"AL#
ANPC#
FSS#
FA#
AL#
SEF#
APA#
";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#


";"150.20.300#
500.10.001#
500.20.002#
500.20.003#
500.20.300#
550.20.002#
550.20.004#
550.20.006#
550.30.600#
650.20.600#
700.20.300#
";"Avaliação de atividades#
Realização de auditorias#
Realização de inquérito#
Realização de sindicância#
Procedimento disciplinar#
Ação de vigilância#
Realização de piquetes de prevenção#
Atendimento telefónico de emergência#
Participação em operações de resposta a crises#
Acolhimento de emergência em equipamentos de apoio social#
Prestação de cuidados de emergência médica#
";"Síntese (sintetizado)#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#";Elevada;N;;;;;;;;;;;;;;;;;;;

;550.20.500.01;Ação de proteção e socorro: preparação;"Inicia com o alarme ou com o pedido de proteção e socorro e termina com a preparação da operacionalização.
Inclui diagnósticos de situação, definição e acionamento dos meios e recursos necessários e operacionalização articulada entre forças de segurança, de proteção e militares, quando devido.";;;;;;;;;;;;;;;;10;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância, e PN 500.20.300 - Procedimento disciplinar) e inspetiva (500.10.300 - Realização de inspeção.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada recuperável no relato da operação previsto em
PN 550.20.500.02 - Ação de proteção e socorro: realização e registo.";;;;;;;;;;;;

;550.20.500.02;Ação de proteção e socorro: realização e registo;"Inicia com a elaboração do relato da operação e termina com a sua comunicação.
";;;;;;;;;;;;;;;;10;;"#Critério legal:
Prazo prescricional do procedimento contraordenacional [DL 433/82], Ilícito de mera ordenação social, artº 27.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede de ação disciplinar (PN 500.20.002 - Realização de inquérito; PN 500.20.003 - Realização de sindicância, PN 500.20.300 - Procedimento disciplinar) e inspetiva (500.10.300 - Realização de inspeção).";Data de conclusão do procedimento;Data de encerramento do processo;C;"#Critério de densidade informacional:
Informação síntese do
PN 550.20.500.01 - Ação de proteção e socorro: preparação e execução.

";;;;;;;;;;;;

