Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Diplomas jurídico-administrativos complementar;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Normalização Forma de contagem do prazo de cons. adm.;Forma de contagem do prazo de cons. adm.;Destino final;Justificação DF;Notas;;;;;;;;;;;
;500.30.006;Afastamento coercivo do território nacional;"Expulsão administrativa de cidadãos estrangeiros do país.
Inicia com o despacho de instauração do processo e termina com a notificação do interessado da decisão sobre o afastamento coercivo.
Inclui notificação para audição do visado, relatório com descrição e apreciação dos factos apurados, e proposta de resolução considerada adequada, e notificação da decisão de expulsão, podendo ainda incluir um pedido de readmissão ativa por parte de país, com o qual exista acordo ou convenção internacional de readmissão.
";"Afastamento coercivo de nacionais de Estado terceiro do território nacional#
Readmissão ativa por parte de um Estado com o qual haja um acordo ou convenção internacional de readmissão#
";"Nacionais de Estado terceiro que entrem ou permaneçam ilegalmente no território português#
Nacionais de Estado terceiro que atentem contra a segurança nacional ou a ordem pública#
Nacionais de Estado terceiro cuja presença ou atividades no País constituam ameaça aos interesses ou à dignidade do Estado Português ou dos seus nacionais#
Nacionais de Estado terceiro que interfiram de forma abusiva no exercício de direitos de participação política reservados aos cidadãos nacionais#
Nacionais de Estado terceiro que tenham praticado atos que, se fossem conhecidos pelas autoridades portuguesas, teriam obstado à sua entrada no País#
Nacionais de Estado terceiro sobre os quais existam sérias razões para crer que cometeram atos criminosos graves ou que tencionam cometer atos dessa natureza, designadamente no território da União Europeia#
Nacionais de Estado terceiro que sejam detentores de um título de residência válido, ou de outro título que lhe confira direito de permanência em outro Estado-membro e não cumpra a obrigação de se dirigir, imediatamente, para esse Estado-membro#";A expulsão judicial deve ser considerada em 600.40.300 – Expulsão judicial#;"Lei 23/2007#
Lei 29/2012#";Lei 23/2007, (alterada por Lei 29/2012)#;PE;N;SEF#;;;"150.20.300#
400.10.028#
500.30.005#
500.30.500#
550.10.008#
550.10.301#
550.10.302#
550.10.303#
550.10.306#";"Avaliação de atividades#
Emissão de documentos de viagem a estrangeiros#
Abandono voluntário do território nacional#
Aplicação de medidas administrativas cautelares#
Controlo de pessoas nas fronteiras#
Emissão de vistos#
Autorização de trânsito para efeitos de afastamento por via aérea#
Autorização de residência#
Readmissão de estrangeiros em situação ilegal#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Cruzada#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
[Lei 23/2007], artº 144, Prazo de interdição de entrada ""Ao cidadão estrangeiro sujeito a decisão de afastamento é vedada a entrada em território nacional por período até cinco anos (...)"".
#Critério de utilidade administrativa:
Necessidade para controlo de fronteira e controlo de medidas de interdição de entrada (a sua violação é criminalizada, prescrevendo a prática deste crime ao fim de cinco anos) PN 550.10.008 - Controlo de fronteiras;
Necessidade para apreciação de pedidos de visto PN 550.10.301 - Emissão de vistos;
Necessidade para processamento de autorização de residência PN 550.10.303 - Autorização de residência.";Data de conclusão do procedimento;Após eliminação de medida de interdição de entrada;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;500.30.007;Condução à fronteira;"Operações relativas à condução à fronteira de cidadãos estrangeiros que tenham sido detidos, por autoridade judicial, por terem entrado e permanecido ilegalmente no país e que declarem em sede de interrogatório judicial querer abandonar o território nacional e cujos nomes serão registados no Sistema de Informação Schengen e na lista nacional de pessoas não admissíveis pelo período de um ano em que vigora a interdição de entrada.
Inicia com o despacho de instauração do Processo de Condução à Fronteira e termina com a concretização do afastamento.
Inclui notificação ao visado sobre a interdição de entrada de um ano, comunicação ao Tribunal responsável pela detenção e encerramento do processo.
";Condução à fronteira de cidadãos estrangeiros que tenham entrado e permanecido ilegalmente no país#;;;"Lei 23/2007#
Lei 29/2012#";Lei 23/2007, (alterada por Lei 29/2012)#;PE;N;SEF#;;;"150.20.300#
300.30.008#
500.30.005#
500.30.500#
550.10.306#";"Avaliação de atividades#
Registo de documentos e informação#
Abandono voluntário do território nacional#
Aplicação de medidas administrativas cautelares#
Readmissão de estrangeiros em situação ilegal#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
[Lei 23/2007], artº 144, Prazo de interdição de entrada ""Ao cidadão estrangeiro sujeito a decisão de afastamento é vedada a entrada em território nacional por período até cinco anos (...)""
Necessidade para controlo de fronteira e controlo de medidas de interdição de entrada  (a sua violação é criminalizada, prescrevendo a prática deste crime ao fim de cinco anos), relevante também para apreciação de eventuais pedidos de visto ou autorização de residência.";Data de conclusão do procedimento;Após eliminação de medida de interdição de entrada;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;;;;;;;;;;;

;500.30.500;Aplicação de medidas administrativas cautelares;"Prevenção ou afastamento de perigos gerados por comportamentos individuais contra o interesse público legalmente reconhecido, com o objetivo de repor a legalidade ou acautelar o resultado final de um procedimento em curso.
Inicia com o requerimento ou denúncia do particular ou por iniciativa da entidade administrativa competente e termina com o cumprimento da medida e reposição da legalidade.
Inclui análise da situação e definição da medida cautelar a aplicar.";"Medidas tendo em vista a apreensão de bens, equipamentos, valores ou mercadorias#
Encerramento preventivo de estabelecimentos#
Medidas administrativas de polícia#
Medidas de tutela da legalidade urbanística#
Selagem de instalações#";"Medidas de embargo de obras de urbanização#
Medidas de edificação ou demolição
Medidas de trabalhos de correção ou alteração
Medidas de demolição da obra e reposição do terreno
Medidas de posse administrativa e execução coerciva de obras ou limpeza
Medidas de cessação de utilização#";"A gestão dos bens apreendidos deve ser considerada em 300.10.700 – Depósito de bens não culturais#
As contraordenações ambientais, quando são determinadas medidas cautelares no âmbito da instrução do processo devem ser consideradas no respetivo processo de contraordenação em 500.30.001 – Processamento de contraordenações#
O processamento de penas e de medidas cautelares decididas por autoridades judiciais deve ser considerado em Administração da justiça / Execução de penas, medidas e títulos executivos (600.40)#";"DL 26/2010#
DL 4/2015#";;PE;N;ECS#;;;"150.20.300#
400.10.406#
450.10#
500.10.001#
500.10.300#
500.10.301#
500.30.002#
500.30.006#
500.40.001#
500.40.500#
500.40.501#
550.10.004#
550.10.008#
550.10.301#
550.10.303#
600.10.500#
800.10.300#";"Avaliação de atividades#
Registo predial#
Licenciamentos, certificações e outras autorizações#
Realização de auditorias#
Realização de inspeção#
Realização de fiscalização#
Aplicação de sanções administrativas inominadas#
Afastamento coercivo do território nacional#
Processamento de reclamações de atos administrativos#
Processamento de recursos hierárquicos#
Processamento de recursos administrativos especiais#
Apoio de forças de segurança a diligências#
Controlo de pessoas nas fronteiras#
Emissão de vistos#
Autorização de residência#
Processamento de inquérito-crime#
Controlo ambiental de infraestruturas e equipamentos#";"Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Suplementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Cruzada#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Cruzada#";Média;N;5;;"#Critério legal:
[Lei 109/2001], artº único, que altera o [DL 433/82].
Considerou-se o prazo maior para a prescrição da contraordenação.";Data de conclusão do procedimento;Data de reposição da legalidade;E;"#Critério de densidade informacional:
Informação síntese recuperável em
PN 150.20.300 - Avaliação de atividade;
PN 400.10.406 - Registo predial.";;;;;;;;;;;;

;500.40;Impugnação administrativa;Compreende as atividades de processamento das iniciativas de impugnação de atos da Administração, quando tais impugnações sejam apresentadas aos próprios serviços da Administração, sob a forma de recurso hierárquico e recurso tutelar.;"A utilizar sempre que é requerida, à competente entidade da Administração e/ou membro do Governo que a tutela, a anulação de um parecer ou decisão administrativa#
Requerimentos apresentados por funcionários#
Requerimentos apresentados por cidadãos ou empresas que sejam parte interessada num qualquer processo#";Recurso da avaliação de desempenho#;"As reclamações apresentadas no chamado ""livro amarelo"" devem ser consideradas em ""Administração da participação cívica/ Processamento de ações peticionárias, reclamações e manifestações de congratulação (950.20);
A ""pronúncia"" em sede de audiência prévia que faz parte do procedimento de aquisição deve ser considerada em ""Administração de direitos, bens e serviços/ Aquisição, venda, abate ou permuta"" (300.10);
Nos casos em que venha a verificar-se posterior evolução do caso para Tribunal (impugnação judicial de decisão administrativa), novo processo deve ser aberto em ""Administração da Justiça/ Produção de prova e decisão judicial"" (600.30).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;500.40.001;Processamento de reclamações de atos administrativos;"Impugnação administrativa da prática ou omissão de atos, perante o seu próprio autor, a fim de obter a revogação, a anulação, a modificação, a substituição, a sanação ou declaração de nulidade dos atos reclamados ou recorridos.
Inicia com o pedido e termina com a notificação da decisão ao interessado.
Inclui a notificação aos contrainteressados, emissão de parecer do órgão recorrido e decisão da autoridade do recurso.";"Reclamação das matrizes prediais (rústicas e urbanas)#
Reclamação graciosa prevista no CPPT (art.º 68º e seguintes)#
Processos denominados administrativos, de avaliação  de procedimentos, resultantes de denúncia, queixa, participação, notícia  ou certidão do Tribunal#";;"As reclamações apresentadas no chamado ""livro amarelo"" devem ser consideradas em 950.20.001 – Processamento de petições, reclamações e sugestões#
A produção de novos registos resultantes do processo de reclamação deve ser considerada nos respetivos processos#
";"DL 4/2015#
DL 287/2003#
DL 433/99#";;PC;N;AP#;;;"150.20.300#
300.30.008#
250.10.103#
400.10.406#
400.10.407#
500.40.500#
500.30.001#
500.30.002#
500.30.003#
500.30.004#
500.30.500#
600.30.550#
600.30.551#
600.30.552#
600.30.554#
600.30.555#
600.30.556#
600.30.557#
600.30.558#
600.30.560#
600.30.561#
";"Avaliação de atividades#
Registo de documentos e informação#
Seleção de candidatos para frequência de estágios profissionais e programas ocupacionais#
Registo predial#
Registo de prédios nas matrizes prediais#
Processamento de recursos hierárquicos#
Processamento de contraordenações#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#
Aplicação de sanções disciplinares#
Aplicação de medidas administrativas cautelares#
Ação administrativa declarativa comum#
Impugnação judicial tributária#
Ação administrativa e tributária especial#
Contencioso eleitoral para órgãos sociais#
Contencioso pré-contratual#
Intimação administrativa e tributária para a prestação de informação, consulta de processos ou passagem de certidões#
Intimação administrativa para a proteção de direitos, liberdades e garantias#
Intimação para um comportamento (tributário)#
Derrogação do sigilo bancário#
Ação para reconhecimento de um direito ou interesse legítimo em matéria tributária#

";"Síntese (sintetizado)#
Síntese (sintetizado)#
Cruzada#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Elevada;S;10;;"#Critério legal:
[Lei 98/97, artº 70]
Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: O prazo de conservação adminsitrativa suspende-se, caso existam processos contenciosos subsequentes, até à data de trânsito em julgado.
Aplica-se complementarmente para os processos tributários o [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Relação de Sucessão (sucessor) com todos os PN suscetíveis de reclamação administrativa#;;;;;;;;;;

;500.40.500;Processamento de recursos hierárquicos;"Impugnação administrativa, dirigida ao mais elevado superior hierárquico do autor do ato ou da omissão, ou ainda, apresentado ao autor do ato ou da omissão ou à autoridade a quem seja dirigido, que neste caso, o remete ao primeiro, a fim de obter a revogação, a anulação, a modificação ou a substituição.
Inicia com o pedido e termina com a notificação da decisão ao recorrente / interessado.
Inclui notificação aos contrainteressados, elaboração de informação e emissão de parecer do órgão recorrido (que pode alterar a decisão anteriormente proferida), notificação para o exercício do direito de audição, quando o pedido é objeto de indeferimento total ou parcial, as alegações efetuadas e a decisão final (despacho) da autoridade do recurso.";Recursos hierárquicos, independentemente da matéria objeto de recurso#;;;"DL 4/2015#
";;PC;S;AP#;AP#;Decidir#;"150.20.300#
250.10.100#
250.10.101#
300.30.008#
400.10.001#
400.10.009#
400.10.025#
400.10.026#
400.10.027#
400.10.047#
400.10.200#
400.10.406#
400.10.409#
400.30.001#
500.30.001#
500.30.002#
500.30.003#
500.30.004#
500.30.500#
500.40.001#
600.30.550#
600.30.551#
600.30.552#
600.30.554#
600.30.555#
600.30.556#
600.30.557#
600.30.558#
600.30.560#
600.30.561#
";"Avaliação de atividades#
Procedimento concursal para preenchimento de cargos de direção (superior e intermédia)#
Procedimento concursal para preenchimento de postos de trabalho#
Registo de documentos e informação#
Registo civil#
Registo Nacional de Pessoas Coletivas#
Aquisição de nacionalidade#
Atribuição e registo de estatuto de igualdade#
Emissão de passaportes#
Identificador internacional de entidades contrapartes em transações financeiras#
Registo comercial#
Registo de veículos a motor e respetivos reboques#
Celebração de contratos, escrituras, títulos equivalentes e testamentos#
Processamento de contraordenações#
Processamento de contraordenações#
Aplicação de sanções administrativas inominadas#
Aplicação de sanções contratuais#
Aplicação de sanções disciplinares#
Aplicação de medidas administrativas cautelares#
Processamento de reclamações em atos administrativos#
Ação administrativa declarativa comum#
Impugnação judicial tributária#
Ação administrativa e tributária especial#
Contencioso eleitoral#
Contencioso pré-contratual#
Intimação administrativa e tributária para a prestação de informação, consulta de processos ou passagem de certidões#
Intimação administrativa para a proteção de direitos, liberdades e garantias#
Intimação para um comportamento (tributário)#
Derrogação do sigilo bancário#
Ação para reconhecimento de um direito ou interesse legítimo em matéria tributária#
";"Síntese (sintetizado)#
Cruzada#
Cruzada#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (sucessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Sucessão (antecessor)#
";Média;S;10;;"#Critério legal:
[Lei 98/97, artº 70] - Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: O prazo de conservação adminsitrativa suspende-se, caso existam processos contenciosos subsequentes, até à data de trânsito em julgado.
Aplica-se complementarmente para os processos tributários o [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Relação de Sucessão (sucessor) com todos os PN suscetíveis de recurso hierárquico#;;;;;;;;;;

;500.40.501;Processamento de recursos administrativos especiais;"Impugnação interposta para um orgão da mesma pessoa coletiva que exerça poderes de supervisão, para um orgão colegial, de atos ou omissões de qualquer dos seus membros, comissões ou secções, para um orgão de outra pessoa coletiva que exerça poderes de tutela ou superintendência, ou ainda, por expressa disposição legal, para o delegante ou subdelegante dos atos praticados pelo delegado ou subdelegado, a fim de obter a sua revogação ou substituição.
Inicia com o pedido e termina com a notificação da decisão ao recorrente.
Inclui notificação aos contrainteressados, elaboração de informação e emissão de parecer do orgão recorrido (que pode alterar a decisão anteriormente proferida), e decisão da autoridade do recurso.
";;;Os recursos hierárquicos devem ser considerados em 500#40#500 – Processamento de recursos hierárquicos#;"DL 4/2015#
";;PC;S;AP#;AP#;Decidir#;"150.20.300#
300.30.008#
500.30.500#
600.30.551#";"Avaliação de atividades#
Registo de documentos e informação#
Aplicação de medidas administrativas cautelares#
Impugnação judicial tributária#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Sucessão (sucessor)#
Sucessão (sucessor)#";Média;S;10;;"#Critério legal:
[Lei 98/97, artº 70]
Prazo prescricional  da responsabilidade financeira reintegratória.
Nota: O prazo de conservação adminsitrativa suspende-se, caso existam processos contenciosos subsequentes, até à data de trânsito em julgado.
Aplica-se complementarmente para os processos tributários o [DL 433/99], artº 27, nº 2.";Data de conclusão do procedimento;Data de encerramento do processo;E;"#Critério de densidade informacional:
Informação sintetizada complementarmente em
PN 150.20.300 - Avaliação de atividades (atuação da entidade);
PN 300.30.008 - Registo de documentos e informação (casos tratados).";;Relação de Sucessão (sucessor) com todos os PN susceptíveis de recurso administrativo especial#;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

